RevTotal1,RevTotal2,RevTotal3,RevTotal4,RevTotal5,AssetsTotal1,AssetsTotal2,AssetsTotal3,AssetsTotal4,AssetsTotal5,RevTotal6?
10581915,9099362,9969861,7905032,9679234,50895388,57276917,57726814,57408920,52014527,
692157,694253,699029,766957,819289,13243000,13015760,12814414,12546609,12408071,
723325,705854,710536,751044,739391,7286388,7068229,6889882,6425533,6106210,
0,0,0,0,0,0,0,0,0,0,
485906,481980,518288,589416,559776,4394214,4205211,4050702,3780483,3612983,
168695,169674,171469,172696,173452,2671363,2794467,2979294,3094987,3214423,
117024,117260,117244,118584,118168,1254626,1223120,1210879,1203694,1193820,
154939,154859,155930,153077,151274,1817591,1784148,1514613,1475548,1435853,
489880,542680,655905,496926,539296,7732436,7476600,7359197,7167385,7013595,
2357931,2847814,3199959,3233820,3129806,8048793,8369860,8983612,9527259,9851921,
4307933,4172712,4088143,4587836,14106564,19437611,18934977,18264824,17220374,593856,
1614011,1519934,1431879,1298091,1024362,1022063,924797,919348,1043083,1110514,
1351238,1361331,1355199,8629087,54240,2553353,2120693,1948429,4773108,4816789,
0,0,0,0,0,1024832,1024832,1024557,1024307,1024057,
3062023,3263467,3448750,3628194,3469848,15730306,16824402,18201945,19751421,21218337,
2620889,2944309,2854209,2930649,2989381,8035533,8074806,8043095,7974828,7893134,
361144,58266,327925,101071,60229,2724574,2299332,2279081,1986723,1688936,
1823893,1782970,1751369,1933488,1521711,3160378,3137465,3051513,2955441,2742478,
1965770,2502881,2610778,2733392,2775912,1707292,2312612,2417166,3090354,5625234,
1184200,1408215,1416698,1502850,1637072,417075,335807,243529,404037,715320,
1331834,1361833,1766926,1706999,1706893,3718154,3595848,3927559,4083996,4244387,
605292,637879,674082,676362,652953,2156903,1995505,1922934,2052139,1999044,
3783578,5650379,4093610,3420834,3571867,3117165,4726398,5092402,5525764,5756723,
1045068,1260398,961075,3367557,173197,2244723,2388659,2440817,3308697,608913,
434335,542387,356097,670831,470316,1495232,1503917,1292211,1298259,1276564,
762215,794299,759816,787486,802686,606231,622201,562549,531158,499118,
853057,858258,879350,929660,912013,1421061,1318080,1296045,1192109,1191961,
6986295,7210527,7630818,7689639,8530875,8846139,9813525,11199187,10487789,11139037,
349977,462744,226351,247042,246567,945201,333747,387560,438703,544457,
1087085,2372006,2349089,1671187,1542804,12378711,11470664,11193159,10618976,10405666,
182456,219005,184426,190481,233673,600765,627200,626965,635774,678713,
1543798,1504745,1539556,2316269,2287994,9887228,10142206,10523850,11060801,12252185,
4550769,3612092,3639238,3794638,16656581,82830486,85258836,90192255,88755172,101941563,
204315,208589,207711,197067,169853,167548,162291,163631,134472,79315,
512310,837303,933957,1095211,1050877,843756,857704,946942,1018311,1092777,
3538891,4921117,4781421,4663799,5133432,5094371,5667252,6088390,6569050,8427816,
208540,105718,0,118671,95036,326729,292327,359021,223342,232607,
1479799,1509075,1523196,1529997,1582500,4333714,3580000,3098368,2955539,2754097,
20285170,473314,199963,4008,123,19082520,19535317,2338716,2309525,303821,
135790,339843,122052,72785,183642,1807157,1959225,1914944,1813737,1857364,
393046,254596,691756,452859,384491,724425,567152,885834,897213,752034,
1495189,1512610,1534521,1539668,1549639,3555162,3268906,3225838,3164590,3126098,
25403,1814049,1882736,2252962,1965737,9074205,8836105,7782739,7379935,6988499,
104497,111532,119645,126734,132199,3124752,3108593,3144143,3186592,3304606,
3246855,3317093,3368454,3398623,3462124,10077085,8430144,7659502,7206664,6518669,
1487840,1557250,1764340,1931034,1879225,6155204,6146933,6167069,6138740,6186504,
251845,107760,144303,186187,195528,6533871,6425033,6426810,6426226,6425690,
1667623,1719603,1687453,1687632,1671305,4529400,4517556,4240667,4185789,4082393,
371947,337361,701067,232398,81439,229788,467117,1007074,1097049,1261060,
0,0,0,0,971291,0,0,0,0,0,
119601,164840,170394,125546,143984,12715,88091,164931,176424,221213,
746431,964611,878106,1116014,1583486,1520428,1915767,2151662,2484212,5468801,
1314903,119605,135894,72656,68658,1808048,1890671,1992824,1928986,2160494,
5476002,5175718,5278426,5185797,5503787,15837967,14905874,14375381,13290691,12881193,
